name,surname,name_generic
Andrew,Andrew,0
AndrewTemp,AndrewTemp,0
Andrey,Andrey,0
Andria,Andria,0
Andries,Andries,0
Andro,Andro,0
Andrzej,Andrzej,0
Andy,Andy,0
Ane,Ane,0
Anecia,Anecia,0
Anees,Anees,0
Aneesa,Aneesa,0
Anel,Anel,0
Anele,Anele,0
Anelisa,Anelisa,0
Anesh,Anesh,0
Anesu,Anesu,0
Anet,Anet,0
Anette,Anette,0
Anga,Anga,0
Angel,Angel,0
Angela,Angela,0
Angelika,Angelika,0
Angelina,Angelina,0
Angeline,Angeline,0
Angelique,Angelique,0
Angelo,Angelo,0
Angi,Angi,0
Angie,Angie,0
Angus,Angus,0
Aniceto,Aniceto,0
Anil,Anil,0
Anine,Anine,0
Anisah,Anisah,0
Anish,Anish,0
Anisha,Anisha,0
Anita,Anita,0
Anja,Anja,0
Anje,Anje,0
Ankit,Ankit,0
Anli,Anli,0
Ann,Ann,0
Anna,Anna,0
Anné-Marie,Anné-Marie,0
Annah,Annah,0
Annali,Annali,0
Annalie,Annalie,0
Annaline,Annaline,0
Annalize,Annalize,0
Anna-Marie,Anna-Marie,0
Annarike,Annarike,0
Annatjie,Annatjie,0
Annaz,Annaz,0
Anndreas,Anndreas,0
Anne,Anne,0
Annelee,Annelee,0
Annelene,Annelene,0
Anneleze,Anneleze,0
Anneli,Anneli,0
Annelie,Annelie,0
Annelize,Annelize,0
Anne-Marie,Anne-Marie,0
Anneri,Anneri,0
Annerie,Annerie,0
Annete,Annete,0
Annette,Annette,0
Annie,Annie,0
Anoop,Anoop,0
Anrea,Anrea,0
Anria,Anria,0
Anrico,Anrico,0
Anro,Anro,0
Ansa,Ansa,0
Anselmo,Anselmo,0
Ansi,Ansi,0
Ansie,Ansie,0
Ant,Ant,0
Anthea,Anthea,0
Anthony,Anthony,0
Antionette,Antionette,0
Antoinett,Antoinett,0
Antoinette,Antoinette,0
Anton,Anton,0
Antonette,Antonette,0
Antonie,Antonie,0
Antonio,Antonio,0
Antonnia,Antonnia,0
Antony,Antony,0
Ants,Ants,0
Anurag,Anurag,0
Anusha,Anusha,0
Anvall,Anvall,0
Anver,Anver,0
Anvor,Anvor,0
Anwar,Anwar,0
Anzelique,Anzelique,0
Aphelele,Aphelele,0
Aphiwe,Aphiwe,0
April ,April ,0
Aqeel,Aqeel,0
Aquinas,Aquinas,0
Araujo,Araujo,0
Archibald,Archibald,0
Archie ,Archie ,0
Arenco,Arenco,0
Arie,Arie,0
Ariel,Ariel,0
Ariful,Ariful,0
Aris,Aris,0
Arish,Arish,0
Arisha,Arisha,0
Arlene,Arlene,0
Arlington,Arlington,0
Armand,Armand,0
Armando,Armando,0
Armel,Armel,0
Armin,Armin,0
Arne,Arne,0
Arneau,Arneau,0
Arno,Arno,0
Arnold,Arnold,0
Arnot,Arnot,0
Arran,Arran,0
Arselio,Arselio,0
Arshad,Arshad,0
Arthur,Arthur,0
Artur,Artur,0
Artwell,Artwell,0
Asanda,Asanda,0
Asathi,Asathi,0
Asavela,Asavela,0
Aschrill,Aschrill,0
Aschwyn,Aschwyn,0
Asekho,Asekho,0
Ash,Ash,0
Asheeka,Asheeka,0
Asheka,Asheka,0
Ashelita,Ashelita,0
Ashendran,Ashendran,0
Ashieka,Ashieka,0
Ashleen,Ashleen,0
Ashleigh,Ashleigh,0
Ashleita,Ashleita,0
Ashlene,Ashlene,0
Ashley,Ashley,0
Ashna,Ashna,0
Ashni,Ashni,0
Ashok,Ashok,0
Ashraf,Ashraf,0
Ashton,Ashton,0
Ashveer,Ashveer,0
Ashvitha,Ashvitha,0
Ashwell,Ashwell,0
Ashwill,Ashwill,0
Ashwin,Ashwin,0
Asiff,Asiff,0
Asim,Asim,0
Asiphe,Asiphe,0
Asithandile,Asithandile,0
Asive,Asive,0
Aslam,Aslam,0
Asma,Asma,0
Assimina,Assimina,0
Aston,Aston,0
Astrid,Astrid,0
Aswath,Aswath,0
Atang,Atang,0
Athalia,Athalia,0
Athellyne,Athellyne,0
Athena,Athena,0
Athenkosi,Athenkosi,0
Athi,Athi,0
Athienne,Athienne,0
Athini,Athini,0
Athish,Athish,0
Athylle,Athylle,0
Atisha,Atisha,0
Atkins,Atkins,0
Attlee,Attlee,0
Aubrey,Aubrey,0
Auditor,Auditor,0
Audrey,Audrey,0
Audrid,Audrid,0
August,August,0
Augusta,Augusta,0
Augusto,Augusto,0
Augustus Makori,Augustus Makori,0
Aundine,Aundine,0
Aunine,Aunine,0
Austin,Austin,0
Austine,Austine,0
Avashnee,Avashnee,0
Aveer,Aveer,0
Avela,Avela,0
Avi,Avi,0
Avika,Avika,0
Avinth,Avinth,0
Avishkar,Avishkar,0
Aviwe,Aviwe,0
Avril,Avril,0
Avron,Avron,0
Avuma,Avuma,0
Avuyile,Avuyile,0
Awie,Awie,0
Ayanda,Ayanda,0
Ayesha,Ayesha,0
Ayodeji,Ayodeji,0
Ayrton,Ayrton,0
Azeez,Azeez,0
Azelle,Azelle,0
Azhaar,Azhaar,0
Azhar,Azhar,0
Aziz,Aziz,0
Azola,Azola,0
Azzeddine,Azzeddine,0
Baakens,Baakens,0
Babalo,Babalo,0
Babalwa,Babalwa,0
Baboloki,Baboloki,0
Babra,Babra,0
Babsie,Babsie,0
Bade,Bade,0
Badrudien,Badrudien,0
Badrunisa,Badrunisa,0
Bafana,Bafana,0
Bafokeng,Bafokeng,0
Bahlezi,Bahlezi,0
Bakar,Bakar,0
Balaji,Balaji,0
Balasela,Balasela,0
Baldwin,Baldwin,0
Baleseng,Baleseng,0
Bamidele,Bamidele,0
Bandile,Bandile,0
Banele,Banele,0
Bani,Bani,0
Bantu,Bantu,0
Barbara,Barbara,0
Barbara-Ann,Barbara-Ann,0
Barbra,Barbra,0
Barcia,Barcia,0
Bardie,Bardie,0
Barend,Barend,0
Bareng,Bareng,0
Baron,Baron,0
Barrie,Barrie,0
Barry,Barry,0
Barry-Lee,Barry-Lee,0
Bart,Bart,0
Bartolomeu Americo,Bartolomeu Americo,0
Basant,Basant,0
Basetsana,Basetsana,0
Bash,Bash,0
Basha,Basha,0
Basheer,Basheer,0
Bassey,Bassey,0
Batanayi,Batanayi,0
Batandwa,Batandwa,0
Bathandwa,Bathandwa,0
Batiisi,Batiisi,0
Batsile,Batsile,0
Baz,Baz,0
Beata,Beata,0
Beaula,Beaula,0
Beaulah,Beaulah,0
Beauty,Beauty,0
Becky,Becky,0
Bee,Bee,0
Beena,Beena,0
Bekezela,Bekezela,0
Bekithemba,Bekithemba,0
Bela,Bela,0
Belinda,Belinda,0
Belita,Belita,0
Ben,Ben,0
Benamile,Benamile,0
Benedick,Benedick,0
Benedict,Benedict,0
Benedicta,Benedicta,0
Benita,Benita,0
Benjamin,Benjamin,0
Bennedict,Bennedict,0
Bennet,Bennet,0
Bennie,Bennie,0
Benny,Benny,0
Benoy,Benoy,0
Benson,Benson,0
Benzo,Benzo,0
Berenice,Berenice,0
Berhane,Berhane,0
Berline,Berline,0
Bernadette,Bernadette,0
Bernadine,Bernadine,0
Bernaline,Bernaline,0
Bernalope,Bernalope,0
Bernard,Bernard,0
Bernardo,Bernardo,0
Bernardt,Bernardt,0
Bernhard,Bernhard,0
Berni,Berni,0
Bernice,Bernice,0
Bert,Bert,0
Bertha,Bertha,0
Bertie,Bertie,0
Bertus,Bertus,0
Bervelly,Bervelly,0
Beryl,Beryl,0
Bessie,Bessie,0
Besta,Besta,0
Betrees ,Betrees ,0
Betsy,Betsy,0
Betty,Betty,0
Beulah,Beulah,0
Bev,Bev,0
Bevan,Bevan,0
Beverley,Beverley,0
Beverly,Beverly,0
Beyers,Beyers,0
Bhargava,Bhargava,0
Bhavani,Bhavani,0
Bhavesh,Bhavesh,0
Bhavna,Bhavna,0
Bheki,Bheki,0
Bheki Prince,Bheki Prince,0
Bheku,Bheku,0
Bhekumuzi,Bhekumuzi,0
Bhekuzulu,Bhekuzulu,0
Bhutiza,Bhutiza,0
Bianca,Bianca,0
Bianka,Bianka,0
Bie,Bie,0
Biko,Biko,0
Bilaal,Bilaal,0
Bilal,Bilal,0
Bill,Bill,0
Billy,Billy,0
Bilqis,Bilqis,0
Bimalendu,Bimalendu,0
Binaca,Binaca,0
Binita,Binita,0
Binnah,Binnah,0
Biodun,Biodun,0
Biplob,Biplob,0
Bizwell,Bizwell,0
Bjorn,Bjorn,0
Blain,Blain,0
Blaine,Blaine,0
Blanchette,Blanchette,0
Blayne,Blayne,0
Blessed,Blessed,0
Blessing,Blessing,0
Blessmore,Blessmore,0
Bob,Bob,0
Bobbie,Bobbie,0
Bobo,Bobo,0
Bodalina,Bodalina,0
Bogosi,Bogosi,0
Boikanyo,Boikanyo,0
Boipelo,Boipelo,0
Boitshepo,Boitshepo,0
Boitshoko,Boitshoko,0
Boitumelo,Boitumelo,0
Bokamoso,Bokamoso,0
Bokang,Bokang,0
Bolanle,Bolanle,0
Bom,Bom,0
Bonakele,Bonakele,0
Bonako,Bonako,0
Bonaventure,Bonaventure,0
Bonele,Bonele,0
Bonface,Bonface,0
Bonga,Bonga,0
Bongane,Bongane,0
Bongani,Bongani,0
Bongeka,Bongeka,0
Bongekile,Bongekile,0
Bongi,Bongi,0
Bongie,Bongie,0
Bongile,Bongile,0
Bonginkosi,Bonginkosi,0
Bongisile,Bongisile,0
Bongiwe,Bongiwe,0
Bonita,Bonita,0
Bonke,Bonke,0
Bonnie,Bonnie,0
Bonolo,Bonolo,0
Boris,Boris,0
Botes,Botes,0
Botho,Botho,0
Botjeetja,Botjeetja,0
Botlalo,Botlalo,0
Bottie,Bottie,0
Bouwe,Bouwe,0
Boy,Boy,0
Boyens,Boyens,0
Braam,Braam,0
Brad,Brad,0
Bradford,Bradford,0
Bradley,Bradley,0
Bradley George,Bradley George,0
Bradley Malivha,Bradley Malivha,0
Brahm,Brahm,0
Brahman,Brahman,0
Braighton,Braighton,0
Bramwell,Bramwell,0
Branden,Branden,0
Brandon,Brandon,0
Brandon Jonathan,Brandon Jonathan,0
Branigan,Branigan,0
Brantham,Brantham,0
Branus,Branus,0
Brenda,Brenda,0
Brendan,Brendan,0
Brenden,Brenden,0
Brendon,Brendon,0
Brent,Brent,0
Brentley,Brentley,0
Brenton,Brenton,0
Brett,Brett,0
Brett Robert,Brett Robert,0
Brevan,Brevan,0
Brevon,Brevon,0
Breyten,Breyten,0
Brian,Brian,0
Brice,Brice,0
Bridget,Bridget,0
Bridgette,Bridgette,0
Briget,Briget,0
Bright,Bright,0
Brighton,Brighton,0
Brigid,Brigid,0
Brigitte,Brigitte,0
Brink,Brink,0
Brinley,Brinley,0
Britainny,Britainny,0
Briton,Briton,0
Britt,Britt,0
Brittany,Brittany,0
Brolin,Brolin,0
Bronwen,Bronwen,0
Bronwin,Bronwin,0
Bronwyn,Bronwyn,0
Bronwynne,Bronwynne,0
Brownyn,Brownyn,0
Bruce,Bruce,0
Bruckner,Bruckner,0
Bruno,Bruno,0
Brutus,Brutus,0
Bruwer,Bruwer,0
Bryan,Bryan,0
Bryant ,Bryant ,0
Brynn,Brynn,0
Bryton,Bryton,0
Buchi,Buchi,0
Buhle,Buhle,0
Bulelani,Bulelani,0
Bulelwa,Bulelwa,0
Bulenani,Bulenani,0
Bulent,Bulent,0
Bulisani,Bulisani,0
Bunye,Bunye,0
Burt,Burt,0
Bushe,Bushe,0
Bushy,Bushy,0
Busi,Busi,0
Busisiwe,Busisiwe,0
Busisiwe Chombo,Busisiwe Chombo,0
Busiswa,Busiswa,0
Busiswe,Busiswe,0
Buti,Buti,0
Buyani,Buyani,0
Buyie,Buyie,0
Buyisile,Buyisile,0
Buzwe,Buzwe,0
Byron,Byron,0
Cade,Cade,0
Cadey,Cadey,0
Cady,Cady,0
Caesare,Caesare,0
Caiphus,Caiphus,0
Caitlin,Caitlin,0
Cal,Cal,0
Caleb,Caleb,0
Calin,Calin,0
Calli,Calli,0
Callie,Callie,0
Cally,Cally,0
Calum,Calum,0
Calvin,Calvin,0
Camco,Camco,0
Camdon,Camdon,0
Camelia,Camelia,0
Camellia,Camellia,0
Cameron,Cameron,0
Camey,Camey,0
Cami,Cami,0
Camilla,Camilla,0
Campbell,Campbell,0
Camps,Camps,0
Campus,Campus,1
Candace,Candace,0
Candace Wilemina,Candace Wilemina,0
Candi,Candi,0
Candice,Candice,0
Candice-Lee,Candice-Lee,0
Candida,Candida,0
Candis,Candis,0
Canteen,Canteen,0
Capy,Capy,0
Cara,Cara,0
Carel,Carel,0
Caren,Caren,0
Caren-Louise,Caren-Louise,0
Carien,Carien,0
Carika,Carika,0
Carike,Carike,0
Carin,Carin,0
Carina,Carina,0
Carinus,Carinus,0
Carl,Carl,0
Carla,Carla,0
Carleen,Carleen,0
Carleigh,Carleigh,0
Carlin,Carlin,0
Carlo,Carlo,0
Carlos,Carlos,0
Carly,Carly,0
Carlyle,Carlyle,0
Carlyn,Carlyn,0
Carmelita,Carmelita,0
Carmen,Carmen,0
Carol,Carol,0
Carol Ann,Carol Ann,0
Caroline,Caroline,0
Carolyn,Carolyn,0
Caron,Caron,0
Carrie,Carrie,0
Carron,Carron,0
Carsten,Carsten,0
Caryn,Caryn,0
Casey,Casey,0
Casper,Casper,0
Cassandra,Cassandra,0
Cassiem,Cassiem,0
Cassiopia,Cassiopia,0
Castro,Castro,0
Cate,Cate,0
Cathbeth,Cathbeth,0
Catherine,Catherine,0
Cathy,Cathy,0
Cavell,Cavell,0
Cebi,Cebi,0
Cebisile,Cebisile,0
Cecil,Cecil,0
Cecile,Cecile,0
Cecilia,Cecilia,0
Cedric,Cedric,0
Cedrick,Cedrick,0
Cedwin,Cedwin,0
Celeka,Celeka,0
Celeste,Celeste,0
Celia,Celia,0
Celia-Anne,Celia-Anne,0
Celine,Celine,0
Celiwe,Celiwe,0
Celoxis,Celoxis,0
Celso,Celso,0
Celumusa,Celumusa,0
Centia,Centia,0
Cerise,Cerise,0
Cesar,Cesar,0
Cesar Gloire,Cesar Gloire,0
Chad,Chad,0
Chadwick,Chadwick,0
Chaela,Chaela,0
Chaeyne,Chaeyne,0
Chairman,Chairman,0
Chakachaka,Chakachaka,0
Chamaine,Chamaine,0
Chandre,Chandre,0
Chanel,Chanel,0
Chanelle,Chanelle,0
Channel,Channel,0
Chantal,Chantal,0
Chante,Chante,0
Chante',Chante',0
Cornelia,Cornelia,0
Cornelis,Cornelis,0
Cornelius,Cornelius,0
Cornerlius,Cornerlius,0
Corrie,Corrie,0
Cosmos,Cosmos,0
Costa,Costa,0
Courage,Courage,0
Courtney,Courtney,0
Craig,Craig,0
Creasen,Creasen,0
Crescentia,Crescentia,0
Crispen,Crispen,0
Cristan,Cristan,0
Cristin,Cristin,0
Cristina,Cristina,0
Crizelle,Crizelle,0
Cruz,Cruz,0
Crystal,Crystal,0
Cuan,Cuan,0
Cuneyt,Cuneyt,0
Curtis,Curtis,0
CustomerCare,CustomerCare,1
Cwaka,Cwaka,0
Cynthia,Cynthia,0
Cyphrian,Cyphrian,0
Cyril,Cyril,0
Cyrus,Cyrus,0
Cythia,Cythia,0
Daan,Daan,0
Dabea,Dabea,0
Daisey,Daisey,0
Daisy,Daisy,0
Daisy Phindile,Daisy Phindile,0
Dakalo,Dakalo,0
Dale,Dale,0
Daleen,Daleen,0
Dalene,Dalene,0
Dalson,Dalson,0
Dalton,Dalton,0
Daly,Daly,0
Damian,Damian,0
Damien,Damien,0
Damilola,Damilola,0
Dan,Dan,0
Danè,Danè,0
Dane,Dane,0
Danelle,Danelle,0
Danene,Danene,0
Danica,Danica,0
Danie,Danie,0
Daniel,Daniel,0
Daniela,Daniela,0
Daniella,Daniella,0
Danielle,Danielle,0
Danika,Danika,0
Danilo,Danilo,0
Danni,Danni,0
Danny,Danny,0
Danson,Danson,0
Dante,Dante,0
Danyella ,Danyella ,0
Danzel,Danzel,0
Danzelene,Danzelene,0
Daphne,Daphne,0
Daréll,Daréll,0
Darlington,Darlington,0
Daron,Daron,0
Darren,Darren,0
Darron,Darron,0
Darryl,Darryl,0
Darryn,Darryn,0
Darwin,Darwin,0
Daryn,Daryn,0
Datlin,Datlin,0
Dave,Dave,0
Daveshan,Daveshan,0
David,David,0
Davies,Davies,0
Davis,Davis,0
Davison,Davison,0
Davnish,Davnish,0
Davyn,Davyn,0
Dawid,Dawid,0
Dawie,Dawie,0
Dawn,Dawn,0
Dawon-Lee,Dawon-Lee,0
Dawood,Dawood,0
Daya,Daya,0
Dayalan,Dayalan,0
Dayle,Dayle,0
Dayne,Dayne,0
DDgroup,DDgroup,1
De,De,0
De Villiers,De Villiers,0
De Wet,De Wet,0
Dean,Dean,0
Deanno,Deanno,0
Debbie,Debbie,0
Debbra,Debbra,0
Deborah,Deborah,0
Debra,Debra,0
Decent,Decent,0
Declan,Declan,0
Dee,Dee,0
Deelan,Deelan,0
Deena,Deena,0
Deenisha,Deenisha,0
Deepak,Deepak,0
Deepu,Deepu,0
Deeran,Deeran,0
Deidre,Deidre,0
Deirdre,Deirdre,0
Deisgan,Deisgan,0
Dejeandre,Dejeandre,0
Dela,Dela,0
Delaine,Delaine,0
Delcio,Delcio,0
Delene,Delene,0
Delia,Delia,0
Deliah,Deliah,0
Delicia,Delicia,0
Deliksha,Deliksha,0
Delisile,Delisile,0
Dell,Dell,1
Delochnie,Delochnie,0
Delon,Delon,0
Demetrius,Demetrius,0
Deni,Deni,0
Denis,Denis,0
Denise,Denise,0
Denishnee,Denishnee,0
Denita,Denita,0
Deniz,Deniz,0
Dennie,Dennie,0
Dennis,Dennis,0
Denver,Denver,0
Denzel,Denzel,0
Denzil,Denzil,0
Deon,Deon,0
Dereje,Dereje,0
Derek,Derek,0
Derek John,Derek John,0
Deren,Deren,0
Derick,Derick,0
Derik,Derik,0
Derrick,Derrick,0
Dersigan,Dersigan,0
Dervin,Dervin,0
Dervla,Dervla,0
Des,Des,0
Desanya,Desanya,0
Descent,Descent,0
Desh,Desh,0
Desi,Desi,0
Desigan,Desigan,0
Desire,Desire,0
Desiree,Desiree,0
Desiree Butcher,Desiree Butcher,0
Desmond,Desmond,0
Destiny,Destiny,0
Devan,Devan,0
Devarez,Devarez,0
Devendra,Devendra,0
Deverone,Deverone,0
Deveroux,Deveroux,0
Devi,Devi,0
Deviaka,Deviaka,0
Devin,Devin,0
Devina,Devina,0
Devlin,Devlin,0
Devon,Devon,0
Devron,Devron,0
Devshen,Devshen,0
Dewald,Dewald,0
Dhamika,Dhamika,0
Dharmendra,Dharmendra,0
Dharmkrit,Dharmkrit,0
Dharshan,Dharshan,0
Dheeraj,Dheeraj,0
Dheeren,Dheeren,0
Dhiraj,Dhiraj,0
Dhiren,Dhiren,0
Diana,Diana,0
Diane,Diane,0
Dichaba,Dichaba,0
Dichohla,Dichohla,0
Dick,Dick,0
Dicky,Dicky,0
Dido,Dido,0
Dieketseng,Dieketseng,0
Dieter,Dieter,0
Dietjie,Dietjie,0
Dif,Dif,0
Digree,Digree,0
Dijeng,Dijeng,0
Dikeledi,Dikeledi,0
Diketso,Diketso,0
Dikgale,Dikgale,0
Dikgetho,Dikgetho,0
Dikopola,Dikopola,0
Dillon,Dillon,0
Dimakatso,Dimakatso,0
DimensionData,DimensionData,1
Dimitri,Dimitri,0
Dina-Celestee,Dina-Celestee,0
Dinah,Dinah,0
Dineo,Dineo,0
Dinesh,Dinesh,0
Dino,Dino,0
Dino Josh,Dino Josh,0
Dion,Dion,0
Dione Jayd,Dione Jayd,0
Dionisio,Dionisio,0
Dionne,Dionne,0
Dipak,Dipak,0
Diphetogo,Diphetogo,0
Dipti,Dipti,0
Dipuo,Dipuo,0
Dirk,Dirk,0
Dirkie,Dirkie,0
Disang,Disang,0
Ditebogo,Ditebogo,0
Ditiro,Ditiro,0
Div,Div,0
Divan,Divan,0
Divine Asset,Divine Asset,1
Divya,Divya,0
DK,DK,0
Dlongolo,Dlongolo,0
Doane,Doane,0
Doctor,Doctor,0
Dolf,Dolf,0
Dolores,Dolores,0
Domingos,Domingos,0
Dominic,Dominic,0
Dominique,Dominique,0
Domonique,Domonique,0
Don,Don,0
Donald,Donald,0
Donavan,Donavan,0
Dondeguy,Dondeguy,0
Donna,Donna,0
Donnalea,Donnalea,0
Donne,Donne,0
Donovan,Donovan,0
Doors,Doors,0
Dorah,Dorah,0
Doran,Doran,0
Dorcas,Dorcas,0
Doreen,Doreen,0
Dorian,Dorian,0
Dorianne,Dorianne,0
Doris,Doris,0
Dorothy,Dorothy,0
Doudley,Doudley,0
Doudou,Doudou,0
Doug,Doug,0
Douglas,Douglas,0
Douw,Douw,0
DOW,DOW,1
Dozolo,Dozolo,0
Draton,Draton,0
Drew,Drew,0
Drew-Lynn,Drew-Lynn,0
Dries,Dries,0
Duaij,Duaij,0
Duan,Duan,0
Duane,Duane,0
Dudley,Dudley,0
Duds,Duds,0
Dudu,Dudu,0
Duduetsang,Duduetsang,0
Duke,Duke,0
Dumaza,Dumaza,0
Dumazile,Dumazile,0
Dumi,Dumi,0
Dumisan,Dumisan,0
Dumisane,Dumisane,0
Dumisani,Dumisani,0
Dumisiwe,Dumisiwe,0
Dumsile,Dumsile,0
Duncan,Duncan,0
Duran,Duran,0
Durran,Durran,0
Dushyanth,Dushyanth,0
Dustin,Dustin,0
Duwayne,Duwayne,0
Dyan,Dyan,0
Dylan,Dylan,0
Dylian,Dylian,0
Ean,Ean,0
Earl,Earl,0
EB,EB,0
Eben,Eben,0
Ebonku,Ebonku,0
Ebrahiem,Ebrahiem,0
Ebrahim,Ebrahim,0
Ed,Ed,0
Eddie,Eddie,0
Eddy,Eddy,0
Edel,Edel,0
Edem,Edem,0
Edgar,Edgar,0
Edi,Edi,0
Edison,Edison,0
Edith,Edith,0
Edna,Edna,0
Ednah,Ednah,0
Ednelson,Ednelson,0
Ed'Rees,Ed'Rees,0
Edson,Edson,0
Eduan,Eduan,0
Eduann,Eduann,0
Eduard,Eduard,0
Eduardo,Eduardo,0
Edward,Edward,0
Edwell,Edwell,0
Edwin,Edwin,0
Edyta,Edyta,0
Edzani,Edzani,0
Effy,Effy,0
Egi,Egi,0
Egidio,Egidio,0
Egner,Egner,0
Eileen,Eileen,0
Eizabeth,Eizabeth,0
Ekemini,Ekemini,0
Ekeraam,Ekeraam,0
Ekow,Ekow,0
